OBJECTID,District,Rank,County,Name,Type,Shift,Fwy,Abs_PM,CA_PM,Number_Days_Active,Avg_Extent__Miles_,Total_Delay__veh_hrs_,Direction,Abs_PM_upstream,Shape_Length
1,3,1,PLA,EB Douglas Blvd,ML,PM,I80-W,103.38,1.876,59,1.88,41142,W,105.26,3871.93009955138
2,3,2,SAC,EB Exposition Blvd,ML,PM,SR51-S,3.33,3.326,56,2.09,35069,S,5.42,4270.3691945598
3,3,3,SAC,99SB at Cosumnes (Calvine Rd),ML,PM,SR99-S,290.68,16.23,60,1.61,24634,S,292.29,3134.83493643596
4,3,4,SAC,16th Street,ML,PM,US50-E,4.72,L1.566,63,1.09,23974,E,3.63,2252.44726296743
5,3,5,YUB,70EB Yuba River Br,ML,PM,SR70-E,20.15,13.524,30,2.76,23712,E,17.39,5923.91731698533
6,3,6,YOL,80EB at Chiles Rd,ML,PM,I80-E,77.73,5.543,36,4.43,23691,E,73.3,9146.27442047551
7,3,7,SAC,51NB at Elvas Underpass,ML,PM,SR51-N,2.53,2.529,47,2.25,18214,N,0.28,4623.46397121055
8,3,8,YOL,80WB at Enterprise Blvd,ML,AM,I80-W,81.3,9.11,33,2.13,17774,W,83.43,4276.57137583111
9,3,9,PLA,Pleasant Grove Blvd,ML,PM,SR65-S,66.91,R7.189,62,1.44,17369,S,68.35,3068.05090236102
10,3,10,ED,Midway Rd (Pioneer Trail Int.),ML,PM,US50-E,107.96,79.801,63,3.01,16139,E,104.95,6240.32791147352
11,4,1,CC,I80-E,Pinole Valley Rd,ML,PM,14.991,1.658,54,6.933,127938,E,8.058,38.5816952231912
12,4,2,ALA,I880-N,N of Eldridge POC,ML,PM,21.386,11.159,58,4.931,121298,N,16.455,2.37882062799644
13,4,3,SCL,I280-S,Bird Ave,ML,PM,8.836,7.454,60,2.777,89363,S,11.613,2.04056825629393
14,4,4,ALA,I80-E,Gilman St,ML,PM,8.719,3.409,54,3.231,82923,E,5.487,43.2020019418918
15,4,5,CC,SR4-W,5400 E of Willow Pass Rd,ML,AM,14.652,R20.716,43,2.866,73024.2,W,17.518,11827.5411073335
16,4,6,SCL,US101-S,N 13th St-Oakland Rd,ML,PM,389.363,39.69,61,2.08,67312,S,391.443,69.594616302079
17,4,7,SCL,US101-S,1.75 Mi S of Coyote Creek Golf Drive,ML,PM,371.42,R22.113,54,2.613,66933,S,374.033,71.1287490883866
18,4,8,ALA,I80-W,Gilman St,ML,AM,11.949,6.62,58,2.664,57294.6,W,9.285,5415.43504772443
19,4,9,ALA,I80-W,W of Powell St,ML,PM,11.498,6.188,63,2.508,54651,W,14.005,38.6402753518953
20,4,10,ALA,I880-S,66th Ave,ML,PM,40.095,29.868,58,3.538,53513,S,43.633,2.12151735388659
21,5,1,SCR,BAY AVE - PORTER ST AT HWY 1 SB,ML,PM,SR1-S,364.577,13.279,60,2.27,30526.8,S,366.84367,34314.5639537821
22,5,2,SB,SAN YSIDRO RD 101 NB VDS MLSB SB,ML,PM,US101-S,92.928,10.04,58,2.61,14148.3,S,95.54007,5097.93748067457
23,5,3,MON,CANYON DEL REY BLVD AT HWY 1 NB,ML,PM,SR1-N,330.075,R79.54,56,2.42,12205.1,N,327.65357,25159.0855298971
24,5,4,SCR,STATE PARK DR AT HWY 1 NB VDS ML,ML,PM,SR1-S,361.617,10.319,52,2.62,8831,S,364.23623,35121.2382965676
25,5,5,SCR,PARK AVE AT HWY 1 SB VDS MLNB NB,ML,AM,SR1-N,363.679,12.338,39,3.95,8321.5,N,359.72515,22438.2194850826
26,5,6,SB,HWY 150 AT 101 NB VDS MLSB SB,ML,PM,US101-S,83.993,R0.957,18,1.44,7149.8,S,85.43744,2808.56367085281
27,5,7,SCR,BAY AVE - PORTER ST AT HWY 1 NB,ML,PM,SR1-N,364.373,13.032,61,0.5,5480.4,N,363.873,29457.0466842078
28,5,8,MON,SOUTH OF FREMONT BLVD AT HWY 1 N,ML,AM,SR1-S,330.929,R80.46,48,2.87,5277.1,S,333.80192,36034.3082841737
29,5,9,MON,LAGUNA SECA MAIN ENTRANCE HWY 68,ML,PM,SR68-E,11.238,11.034,61,2.5,4286.9,E,8.738,5000.0459687556
30,5,10,MON,CARPENTER RD HWY 1 NB VDS MLNB N,ML,PM,SR1-N,324.954,74.419,63,1.43,3820.1,N,323.52067,27100.4502616307
31,6,1,MAD,S.O Ave. 12,ML,PM,99 S,150.9,6.962,44,1.66,7391,S,152.56,3386.64095731305
32,6,2,FRE,Ashlan Ave,ML,PM,41 N,129.3,R27.55,32,1.56,6233.9,N,127.74,150.894449038659
33,6,3,FRE,Shaw Ave.,ML,PM,41 S,130.15,R28.395,51,1.06,5117.8,S,131.21,5444.58154767234
34,6,4,FRE,Clinton Ave,ML,PM,41 N,127.63,R25.8805,46,1.24,4931.6,N,126.39,787.48438074917
35,6,5,FRE,N.O Nielsen Av,ML,PM,99 N,134.65,22.31,49,0.67,4501.2,N,133.98,1340.15255335949
36,6,6,FRE,McKinley Ave.,ML,PM,41 N,127.09,R25.3409,40,0.94,3416.6,N,126.15,1392.15141675923
37,6,7,FRE,Olive Avenue,ML,PM,99 S,135.53,23.21,32,1.07,2462.2,S,136.6,2156.6988219998
38,6,8,KER,H Street,ML,PM,58 W,110.13,R53.307,30,1.8,2126.7,W,111.93,12464.4705763681
39,6,9,FRE,McKinley Ave,ML,AM,99 S,136.07,23.75,38,0.97,1479.1,S,137.04,1953.1551216952
40,6,10,MAD,Mandera Ave.,ML,AM,99 N,154.59,10.621,39,0.5,247.4,N,154.09,980.818165601282
41,7,1,LA,Nordhoff St.,ML,PM,I405-N,68.64,44.87,49,10.64,213860,N,58,20766.5476214173
42,7,2,LA,Howard Hughes Pkwy,ML,PM,I405-S,48.67,24.9,58,4.94,203629,S,53.61,9620.03865417231
